iid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
100186422,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,1.0
100187516,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0
100188436,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,6.0
100194734,1.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
100199310,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0
100202501,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0
100204025,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
100204755,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,1.0,2.0,3.0,4.0
100207839,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0
100208389,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,1.0,2.0
100212384,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0
100215240,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0
100228828,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,1.0,2.0,3.0,1.0
100230156,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0
100233318,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,2.0,3.0
100235623,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0
100236033,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0
100242269,1.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0
100243411,1.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,5.0
100243993,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0
100245243,1.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0
100249031,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,2.0
100250971,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0
100254225,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,3.0,1.0
100254561,1.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,1.0,2.0,1.0
100262572,1.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,4.0,5.0
100262824,1.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0
100266150,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0
